"id,""hip"",""hd"",""hr"",""gl"",""bf"",""proper"",""ra"",""dec"",""dist"",""pmra"",""pmdec"",""rv"",""mag"",""absmag"",""spect"",""ci"",""x"",""y"",""z"",""vx"",""vy"",""vz"",""rarad"",""decrad"",""pmrarad"",""pmdecrad"",""bayer"",""flam"",""con"",""comp"",""comp_primary"",""base"",""lum"",""var"",""var_min"",""var_max"""
"24549,24608,34029,1708,Gl 194A,""13Alp Aur"",Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816412648801,0.8028163926341112,0.0000003661312916,-0.000002070784673,Alp,""13"",Aur,1,24549,Gl 194,139.3156802945302,"""",,"
"14540,14576,19356,936,"""",""26Bet Per"",Algol,3.136148,40.955648,27.571,2.39,-1.44,4.0,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.821041501386661,0.7148108979134763,0.000000011587047,-0.000000006981317,Bet,""26"",Per,1,14540,"""",96.56060985415496,Bet,2.213,2.073"
"37173,37279,61421,2943,Gl 280A,""10Alp CMi"",Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4.0,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041242831,0.09119333187796,-0.0000034740293908,-0.000005015785376,Alp,""10"",CMi,1,37173,Gl 280,7.4404636619191935,"""",,"
"32263,32349,48915,2491,Gl 244A,""9Alp CMa"",Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696021995,-0.291751258517685,-0.0000026471311772,-0.000005929659164,Alp,""9"",CMa,1,32263,Gl 244,22.824433121735034,"""",-1.333,-1.523"
"24378,24436,34085,1713,"""",""19Bet Ori"",Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21.0,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.3724303693276385,-0.143145630755865,0.0000000090660158,-0.000000002714956,Bet,""19"",Ori,1,24378,"""",51665.42425669497,"""",,"
"21368,21421,29139,1457,Gl 171.1A,""87Alp Tau"",Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.2039308112027507,0.2881416661221312,0.0000003043660287,-0.000000918043185,Alp,""87"",Tau,1,21368,Gl 171.1,163.23000728189953,Alp,0.888,0.858"
"67088,67301,120315,5191,"""",""85Eta UMa"",Alkaid,13.792354,49.313265,31.8674,-121.23,-15.56,-11.0,1.85,-0.667,B3V SB,-0.099,-18.529548,-9.394541,24.164506,-0.00000355,0.0000192,-0.0000101,3.6108299012782816,0.8606788389261799,-0.0000005877396249,-0.000000075437008,Eta,""85"",UMa,1,67088,"""",160.99040762157054,"""",,"
"15824,15863,20902,1017,"""",""33Alp Per"",Mirfak,3.405378,49.86118,155.2795,24.11,-26.01,-2.0,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-0.00000555,0.00002202,-0.00001419,0.8915260037750609,0.8702417516246674,0.0000001168885784,-0.000000126100038,Alp,""33"",Per,1,15824,"""",4040.173353730007,"""",,"
"46259,46390,81797,3748,"""",""30Alp Hya"",Alphard,9.45979,-8.658603,55.2792,-14.49,33.25,-4.0,1.99,-1.723,K3III,1.44,-43.003468,33.722848,-8.322089,0.00000452,0.00000139,0.00000942,2.4765671803168545,-0.151121122495205,-0.0000000702495023,0.000000161200548,Alp,""30"",Hya,1,46259,"""",425.7944535825967,"""",,"
"113603,113963,218045,8781,"""",""54Alp Peg"",Markab,23.079348,15.205264,40.8831,61.1,-42.56,-4.0,2.49,-0.568,B9.5III,-0.002,38.311434,-9.417123,10.722722,0.00000121,0.00001217,-0.00000921,6.042159145935139,0.2653819265538575,0.0000002962211588,-0.000000206336702,Alp,""54"",Peg,1,113603,"""",146.96028989796503,"""",,"
